isco3d,tasks_social_outward,tasks_social_inward,tasks_social,tasks_analytical,tasks_routine,tasks_manual,tasks_social_care,tasks_social_mngmt,ess_social,ess_social_outward,ess_social_inward,ess_analytical,ess_routine,ess_manual,ess_social_care,ess_social_mngmt,opt_social,opt_social_outward,opt_social_inward,opt_analytical,opt_routine,opt_manual,opt_social_care,opt_social_mngmt,weight_LFS,onet_nrca,onet_nrcp,onet_rcog,onet_rman,onet_nrma,onet_abstract,onet_routine,onet_manual
513,.9121050682997169,-.7817907234185594,.5836900040706462,-.7684154908671559,.4921698692363079,.2847265308829324,1.057957326995496,-.7206141192321323,.9403529510665585,1.251337541521391,-.6263921982938563,-.4866899820317476,1.231012950096137,.7304252464228981,1.420806542575731,-.4787359129667003,-.3641882000053085,-.1460278083865914,-.7064989058205597,-.8912048457162268,-.647161537099706,-.1834331265771991,-.1186408635121794,-.784558727709082,3758.078137001488,-1.1368806,.30318317,.80468482,.13900523,.13602401,-.45245811,.55686593,.13602401
514,.5151868486591137,-.3953256894871248,.3392036968597698,-.6762620543768049,.4002562091422521,.2660973488028684,.0446076916283387,-.5058526958885976,-.1182750730375534,.045180016128155,-.6751078893719106,-.5765883341152281,.3954744060266955,.2735039824748973,-.257099609706357,-.7972372945613589,1.130674211494759,1.337287836325782,.1422058707804198,-.6298972094600062,.318877159986728,.2345934257014845,.7121332329307745,.1236262730581911,2066.823957691668,-.042133015,-.1611957,-.54776359,.35378811,.38886288,-.11034906,-.11446378,.38886288
515,.2864824047743399,-.2497011839477438,.1786027208620097,-.8821112891344718,-.2419457276188131,.2288389846427402,.6908016620073958,.8618384738254909,.0908366354274564,.1763308343972947,-.2610245152084493,-.6853026203557161,.0865670601123809,-.3642819484525203,.1228036700556252,.6360189226146054,.2861617772551245,.4191546689921511,-.1406957214199066,-.8912048457162268,-.6471615370997061,.7966856259406183,1.743439007825476,.8455169146937159,1888.825893517875,-.038439453,1.2948244,.26412937,.66648984,.21917987,.68185586,.54915291,.21917987
516,.3946198320459449,-.3155122585665026,.305506170645954,-.9934134916487918,-.6119877357896871,.2387745484187745,.4705082630145355,-.4888978466772659,.2392686070611016,.3789695986901869,-.3807839224419995,-1.019808116480294,-.4326205875387866,.2794534780992202,.37607252323028,-.2119910058811735,.3200930804165385,.2853563682249388,-.1067475303558676,-.745308082139837,-.727664761856909,.1767309933239265,.5259252457970089,-.6972332468660749,791.1889152998338,-.30564687,-.15273224,-.75430661,-.78375798,-.045656733,-.24876811,-.90760285,-.045656726
521,-.1112644541557012,-.6417671603999237,-.26591783770322,-1.60019001503331,.0922857636322988,.4399697148834661,.0543985093613547,.409709161523313,-.5066253887582858,-.2966721167373075,-1.072952699842687,-1.187060864542584,.868139863028117,-.2928880009606452,.3127553099366163,-.7972372945613589,.3238632252122511,.3268799788078667,.1987861892204852,-1.675127754484889,-1.010724487616106,1.127328096669521,-.5483516030516382,2.009856659267143,297.2411509336671,-1.5877171,1.3847009,-3.944227,-1.8667982,-.94559813,-.11017943,-3.4290516,-.94559813
522,.307665664805075,.3411350834662288,.3481954539745749,.1753901127155465,.094439779687623,-.6850647999065673,-.3629995097830124,.6102778038227755,.5316333356020875,.4433851321670701,.647358295871059,.7174826462870173,-.5618053653640818,-.6303541287041952,-.3023261906304025,1.29816653171929,-.1580349817585395,-.094947176320291,-.2130164292004413,-.4281860516481869,.9894575022281479,-.6771771598004604,-.3781904580711006,-.6409860073255917,12892.66057424519,-.093795285,.92496216,-.20547007,-.53866845,-.45482138,.45108473,-.43911177,-.45482138
523,.6842292637043811,-.8658048612297408,.3650145680022671,-.8342393740745493,1.429211728636747,-.5039088438397791,.0543985093613547,-.9466787753832212,.6136159065899807,.8213348586717523,-.4234101521352969,-.1835443761688486,1.761365923503244,-.4832718609389788,.0594864567619615,-.7972372945613589,-.2793599421017738,.1423305984392976,-1.159141453341082,-1.326717572809928,.6512775718874366,-.4786496182994333,.0245960496676402,-.784558727709082,1447.68788836617,-1.40325,.10083196,2.2076185,.71678782,-.27387214,-.70683867,1.7256749,-.27387214
524,.3790137920948703,.1890393135106481,.3709893066926601,-.7424848702096978,-.0410089382357041,-.5442720716799178,-.2148489782965858,.0329347346048312,.4409120402237896,.4182073435002162,.347921623267229,.0150682621551199,-.1367394550064008,-.5070698434362705,-.1304651831190296,.1980795229219494,.0850873881504497,.1577097134700119,-.1029755091265297,-1.366639572793517,.1016050157495462,-.5317885868094354,-.3334962332819087,-.2217945178319256,1552.735930416733,-1.1341468,-.58427244,-.72316372,-.19662285,-.13825236,-.93260783,-.54276061,-.13825236
531,1.88244167623113,-.2048936437817804,1.570955825271164,-1.219608290306926,-1.261351775934705,-.4244243336315057,3.35879949425426,-.2006654100846273,1.476201704008146,1.754440680455468,-.1960702604377103,-1.23723668896127,-.8401549776305631,-.6070213699248956,3.200020236127681,.253817264701015,1.149524935473323,1.475699871602209,-.1406957214199066,-.9304009911546598,-1.571650182698552,-.2046887139812,2.588536795586411,-.784558727709082,2862.835107094143,-1.0858579,-.73995382,-1.9508276,-1.1721228,-1.0667717,-.99089098,-1.8428347,-1.0667717
532,.568219763183119,.2823883555230719,.558596101570996,-1.001791076784278,.2474646702846008,.3716627139232311,1.767791612639158,-.6075817911565876,.8376641656596339,.638583718460656,1.241042626364891,-.7062092138635022,.7192688529489291,.5400413864445642,1.57909957580989,-.3194852221693709,-.2228077701660839,.211536616077511,-1.159141453341082,-1.087185572908392,-.4653800618415061,.1708266634894819,1.600202094645656,-.784558727709082,5388.642299712403,-.20679294,-.16425103,1.4405973,.91589558,.37075227,-.20137024,1.3905526,.37075227
541,-.0741155862707851,.0802452481834417,-.0202489977956998,-.4202405657836087,.8117826083422528,-.0568729905661382,-.2889158786794667,-.3521580887521105,-.3160873779607386,-.392780508579415,-.0438073645140948,-1.010250816591021,.5327934124016869,-.2658139325611289,-.3237060288854058,-.416690189279429,.5850314374243459,.6365394585951277,.2231818589894484,.287620642347009,1.022529979984332,.1556441010580527,-.1130602045571215,-.1161974717331667,3543.941120894859,.026029507,.61856312,1.1585186,-.5073626,.91823083,.34982854,.38424328,.91823083
611,-.5575459000385152,.2103762373992021,-.4338933483131225,-.9496448835940053,-.440608833387969,1.380299857972413,-.5330505546196064,1.9194981151038,-.7266727860588381,-.7297462473215862,-.3944127169697884,-.7614623538483657,.0440324858040415,1.884627397541545,-.4470512495873481,.5336434785306078,.3265561857806175,.013805137111187,.9747448421128092,-.9347561184255968,-1.0199990526803,.7545118414088705,-.5483516030516382,3.17419640384057,3013.170339148899,-.47792739,.46872234,-1.6751263,.14976458,.7661075,-.0049956962,-.90010697,.7661075
612,-.6194965516774205,-1.239201029279436,-.8586119157901929,-.9459405092143686,-.1146194452374371,2.029659919048932,-.5330505546196064,-.7959690046158286,-.9298276558898532,-.7983419133952191,-1.018824154200405,-.8525553684180053,.1734084826585738,3.181617443643943,-.4470512495873481,-.6910701673631393,-.3798971366541111,-.0114605518678432,-1.083701028754328,-.8331364821037333,-.491348844021249,.7022163485895034,-.5483516030516382,-.6293134284326251,1048.585219811881,-1.8653691,-1.459846,-2.8715441,-.17654519,.29068872,-1.8046361,-1.7986596,.29068872
613,-.3101378836207218,-.9778237116446493,-.524026549128192,-1.312958524673775,-.7671666424419891,-.1561641116785835,-.5330505546196064,-.2684848069299541,-.3946012592234591,-.2966721167373075,-.5857957890621445,-1.688819108729451,-.4716992276845733,-.5784637909281456,-.4470512495873481,.1582668502226172,-.5809715257587861,-.2267681622978404,-1.159141453341082,-.6298972094600062,-1.010724487616106,.2771046005094862,-.5483516030516382,-.784558727709082,2966.425248707412,-1.0752711,-.014716838,-.093041442,.60949218,1.0840285,-.59155023,.30475456,1.0840285
